Tour Title,August 2023,September 2023,October 2023,November 2023,December 2023,January 2024,February 2024,March 2024,April 2024,May 2024,June 2024,July 2024,August 2024,September 2024,October 2024,November 2024
Borghese Gallery and Museum: An Audio Tour with Context,0,0,0,0.0,11.04,22.09,11.04,33.12,11.55,37.37,33.63,67.26,57.18,89.61,22.44,11.39
Changing of the Guard Tour with Context,11.04,11.04,12.31,33.13,73.41,10.4,0.0,33.13,22.09,30.06,45.59,11.39,55.64,0.0,33.13,0.7
Paris‘ Left Bank Tour with Context: From Notre Dame to the Latin Quarter,0,0,22.09,11.04,0.35,0.0,11.04,11.04,22.09,41.26,55.22,55.57,33.13,55.22,122.75,0.0
The Roman Forum and the Palatine Hill with Context,0.0,155.32,204.23,124.02,179.2,127.28,137.02,258.23,331.91,356.25,169.38,111.71,12.31,12.3,11.04,0
History of Alexander Hamilton in New York: A Walking Tour with Context,0,0.0,0.0,0,0.35,0.0,11.04,11.04,22.09,22.44,1.05,77.31,33.48,11.04,35.84,22.09
Architecture of London with Context: A Tour of the Square Mile,33.48,30.06,18.36,34.13,40.46,0.0,20.55,0.0,10.39,41.99,31.6,56.64,22.71,33.48,9.51,0
Hidden Gems of Ancient Rome with Context,0.0,22.09,22.79,22.09,22.09,11.04,11.04,33.13,31.48,53.57,66.27,11.04,38.7,82.79,55.54,22.08
History of the Jewish Ghetto in Rome: A Walking Tour with Context,0,0,0.0,0.0,0.0,11.04,0.35,10.44,55.22,88.36,31.83,56.49,22.09,89.96,77.31,11.04
Mexico City's Historical Sights: A Walking Tour with Context,0.0,0.0,0.0,33.48,44.88,179.59,154.01,122.17,133.56,175.19,79.85,45.44,22.09,99.4,88.71,92.14
In and Around St. Mark‘s Square: A Walk with Context,0,0.0,55.57,11.04,32.48,42.6,35.84,56.84,66.62,220.89,89.06,111.75,133.37,83.05,200.65,67.88
Madrid Wine Tour with Context,0,0,0.0,32.01,0,11.39,0.0,0.0,22.09,22.09,11.04,11.04,0.0,11.04,9.57,0
Paris‘ Right Bank with Context: A Tour from the Louvre to the Arc de Triomphe,0,0.0,0,11.04,22.44,55.57,22.09,11.39,45.45,87.7,66.62,77.29,44.66,95.19,67.37,0.0
Parisian Picnic with Context: A Marais Food Tour,0.0,0.0,22.09,0.0,11.04,0.0,11.04,11.04,11.74,11.04,11.04,12.31,33.13,0.0,23.35,11.04
The Home of Classical Music: A Tour of Vienna with Context,0,11.04,0.0,34.4,11.04,0.0,33.13,21.18,33.13,96.93,65.58,85.13,34.1,44.88,90.31,10.13
War and Reconstruction: An Introduction to Vienna’s History with Context,0,0,0,0,0.0,11.04,11.04,22.09,99.4,66.27,89.62,67.88,140.45,132.88,133.79,11.04
In the footsteps of Van Gogh: An Arles Tour with Context,0,0,0.0,0.0,33.13,0.0,0.0,11.39,45.23,112.06,147.16,158.39,138.91,288.57,99.66,68.7
Occupation and Liberation with Context: A World War II Tour of Paris,0,0,0.0,45.44,0.35,56.84,44.79,153.63,65.62,150.72,212.34,101.34,165.03,91.22,90.87,22.79
From Colonialism to Democracy: A Rio de Janeiro Tour with Context,0,0,0.0,0.0,0,11.04,0,22.09,11.04,10.74,11.04,0,0,0,22.09,0
The Evolution of New York City's Broadway: A Tour with Context,0,0,0,0,0,0.0,0.0,0.0,31.86,0,11.04,0.0,11.39,0.0,0,0
Architecture of Lisbon: A Historical Tour with Context,0,0,0.0,0.0,44.18,0.0,0.0,0.0,11.04,34.75,11.04,22.59,28.61,33.12,44.66,5.52
Roman and Medieval Lisbon: A Tour with Context,0,0,0.0,0.0,22.09,0.0,0.0,22.44,22.09,33.13,44.53,31.61,11.39,77.66,55.22,11.04
Paris’ Modern Art Mecca: A Montmartre Walking Tour with Context,0,0,0.0,22.44,33.83,22.09,0.35,11.04,0.0,33.13,68.8,22.09,55.57,77.31,47.24,11.04
Lisbon’s Iconic Tiles: A Walking Tour with Context,0,0,0.0,0.0,0,0.35,0.35,0.35,34.4,22.09,33.13,12.31,0.0,44.88,33.13,11.04
"Pizzas, Pastas and Piazzas: A Guide to Rome’s Culinary Culture with Context",0,0,0,0.0,0.0,0.0,0.0,0,0,0,55.22,22.09,11.39,55.22,0,0
Munich’s Beer Culture: A Walking Tour of its Biergartens with Context,0,0,0,0.0,0,0,0,0.35,11.04,23.36,0,0,33.48,11.04,11.04,0.0
The Remains of Roman London: A Walking Tour with Context,0,0,0,0.0,0.0,0.0,0.0,31.18,0.0,20.55,31.83,31.84,9.51,11.04,22.44,0
Kyoto Tea Quest: A Guide to Japanese Tea Culture with Context,0,0,0,0,0.0,0.0,0.0,11.04,34.4,44.53,22.44,11.04,0,22.09,11.39,0.35
Barcelona’s Architecture: A Guide to Art Nouveau and Gaudi  with Context,0,0,0,0,0.0,0.35,55.57,93.22,113.68,46.49,78.93,55.22,111.14,143.93,274.43,25.34
Architecture of the National Mall: An Audio Tour with Context,0,0,0,0,0,0.0,0.0,0.0,0,34.4,55.92,88.36,24.05,22.09,54.96,24.62
The Nasrid and Charles V Palaces: An Alhambra Audio Tour with Context,0,0,0,0.0,22.44,22.79,45.79,45.44,33.13,44.18,78.58,33.48,33.13,45.44,67.53,22.09
The History of the Jewish Ghetto in Florence: A Walking Tour with Context,0,0,0,0.0,0,11.04,22.09,11.04,56.49,34.4,67.53,101.93,68.79,24.8,55.22,12.31
History and Architecture: A Tokyo Walking Tour with Context,0,0,0,0.0,22.09,133.8,11.04,100.1,112.98,111.14,66.97,45.43,56.05,72.45,129.36,34.13
Tasty Traditions: A Venice Food Tour with Context,0,0,0,0,0.0,11.04,11.39,23.35,25.88,55.22,22.09,55.57,25.15,33.48,23.35,0
Catalan Culture with Context: A Guide to Barcelona’s Gràcia District,0,0,0,0,0.0,0,0.35,22.09,33.13,44.53,11.04,22.09,11.04,44.18,67.53,22.09
Los Palacios Nazaríes y Carlos V: Un Recorrido por la Alhambra en Context,0,0,0,0,0,0.0,0,0,0,0,0.35,0.0,11.04,0,0,0
Politics and Power: An Introduction to Florence with Context,0,0,0,0,0,0.0,11.04,44.18,44.53,77.66,74.96,22.09,11.39,55.22,34.74,45.79
The Royal Mile’s Side Streets and Stories: A Walking Tour with Context,0,0,0,0,0,0.0,0.0,0.0,11.39,89.62,55.92,100.1,34.18,57.53,114.22,11.04
Eats and Treats: A Culinary Tour of London with Context,0,0,0,0,0,0.0,0.0,11.04,22.09,0.0,11.04,0.35,0.7,0.0,0.0,0.0
America‘s Oldest City: A St Augustine Walking Tour With Context,0,0,0,0,44.53,34.4,87.44,114.33,52.49,85.07,64.16,57.76,118.19,84.15,97.93,32.22
Chicago Walking Tour with Context,0,0,0,0,0.0,0.0,0.0,12.31,0.0,0.0,23.36,22.08,11.04,6.57,22.08,5.52
The French Revolution in Paris: A Walking Tour with Context,0,0,0,0,0.0,12.31,55.22,68.14,44.18,89.97,110.96,102.28,84.8,155.68,236.92,13.75
Vibrant Venice: A Walk through Rialto and San Polo with Context,0,0,0,0,0,0,0.0,0,0.0,0,0.0,33.13,25.15,88.71,126.32,44.18
Shakespeare’s London: A Walking Tour with Context,0,0,0,0,0,0,0.0,0.0,22.09,11.04,11.04,23.36,16.77,21.25,0.35,22.09
"The Rise, Fall, and Rediscovery of Pompeii: An Audio Guide with Context",0,0,0,0,0.0,11.04,55.22,112.06,291.01,355.74,366.44,375.68,291.63,443.73,465.22,56.49
New York City’s Glitzy Gilded Age: A Tour with Context ,0,0,0,0,0,0.0,0.0,0,0.0,0.0,11.04,22.09,11.04,12.3,22.09,0.0
Marais Through the Centuries: A Tour of Paris‘ Historical District with Context,0,0,0,0.0,0.0,11.04,22.09,22.09,22.09,22.09,44.53,23.36,22.09,38.18,35.65,22.09
"Rebels, Riots, and Revolution: A Colonial Boston Audio Tour with Context",0,0,0,0,0.0,0,0.0,0,0,0,11.04,0.0,11.04,22.09,22.09,0
Tales of the Old Town: A Madrid Walking Tour with Context,0,0,0,0.0,22.09,99.4,11.04,107.52,55.22,67.53,23.71,88.71,22.09,88.36,44.18,11.04
Iconic Prague Castle: A Walk around the Ancient Complex with Context,0,0,0,0.0,0.0,33.83,33.48,66.97,133.23,110.44,145.68,181.83,103.53,123.44,144.83,39.14
Elegant Salamanca and Chueca: A Guide to Madrid’s Posh Districts with Context ,0,0,0,0,0,0,0,0.0,0.0,22.44,34.75,33.13,33.13,44.18,66.62,0.0
Hemingway’s Paris: A Tour of His Life and Work with Context,0,0,0,0,0.0,0,0.0,11.04,33.13,22.44,45.8,22.44,11.04,24.95,46.7,0.35
Nero’s Rome: A Guide to the Infamous Emperor with Context,0,0,0,0,0.0,0.0,0.0,0,0,55.92,11.04,0.0,11.39,55.22,0.0,0
"Graffiti, Tags, and Murals: A Lisbon Street Art Tour with Context",0,0,0,0,0,0.0,0.0,0.0,23.36,23.35,46.71,0.35,23.35,44.18,34.39,33.13
Bilbao Tour with Context: From the Old Town to the Guggenheim Museum,0,0,0,0,0,0,0,0.0,0.0,45.97,143.37,120.16,145.54,144.62,166.71,33.13
Acropolis of Athens Audio Guide: A Tour with Context,0,0,0,0,0.0,0.0,33.48,146.11,310.51,481.16,333.3,303.62,316.23,339.86,380.69,146.83
Como with Context: A Guide to the Old Town and its Breathtaking Lakeside,0,0,0,0,0.0,0.0,0.35,41.7,20.79,137.2,66.67,64.71,92.83,55.22,77.31,11.04
Fine Food in Florence: A Walking Tour with Context,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.35,0.0,88.36,0
Milan Fashion Tour: A Guide to Quadrilatero della Moda with Context,0,0,0,0,0.0,0,0.0,0.0,0,0.35,22.44,22.09,22.44,67.52,11.04,22.09
The Architecture of La Condesa: A Mexico City Tour with Context,0,0,0,0,0.0,0.0,0,0,22.79,89.97,69.15,66.27,22.09,22.09,44.85,54.29
La Roma Culinary Quest with Context: A Guide to Dining in Mexico City,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,11.39,11.04
Art and Architecture: A Porto Walking Tour with Context,0,0,0,0,0,0,0,0.0,0,0.0,11.39,145.19,200.76,325.6,244.59,66.27
From Obscurity to Prosperity: An Introduction to Buenos Aires with Context,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,33.48,22.44
Castel Sant'Angelo with Context: An Audio Guide of Hadrian’s Mausoleum,0,0,0,0,0,0,0.0,0.0,48.48,88.82,78.65,61.74,83.81,117.92,122.28,44.67
The World’s Largest Church: A St Peter’s Basilica Audio Tour with Context,0,0,0,0,0,0,0.0,0.0,0.0,16.56,39.5,36.37,22.08,61.22,33.82,0
The Vatican Museums Audio Tour with Context: A Guide to the Treasures Within,0,0,0,0,0,0,0.0,0.0,67.54,188.16,124.16,256.36,177.82,259.34,145.33,22.79
From Feudal to Formidable: A Tour of Kyoto’s Architecture with Context,0,0,0,0,0,0,0,0.0,0,11.04,23.14,35.1,0.35,44.53,89.06,22.44
Power and Politics: An Amsterdam Audio Tour with Context,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,156.02,111.14,155.32,33.13
The Shades of Old Milan: A Navigli Walking Tour with Context,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.35
Sforza Castle’s Golden Age: An Audio Tour with Context,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,11.39,11.39
Downtown Athens with Context: From Syntagma Square to the Acropolis Museum,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,57.53,33.48
